fnm_loan_number,servicer_loan_identifier,master_servicer_number,master_servicer_name,acting_servicer_number,acting_servicer_name,activity_period,periods_delinquent,servicer_action_type,servicer_action_type_received_dt,conditional_data_attributes_action_type,delinquency_status_type_received_date,delinquency_status_type_1,delinquency_status_type_2,delinquency_status_type_3,delinquency_status_type_4,delinquency_status_type_5,delinquency_reason_type_received_date,delinquency_reason_type_1,delinquency_reason_type_2,delinquency_reason_type_3,delinquency_reason_type_4,delinquency_reason_type_5
FNM900000000,SLI-00000,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,05/2024,1,Status Update,2024-05-31,Borrower Contact Required,2024-05-31,Delinquent,30 Days Past Due,,,,2024-05-31,Payment Missed,,,,
FNM900000001,SLI-00001,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,05/2024,2,Repayment Plan,2024-05-31,Document Pending,2024-05-31,Current,60 Days Past Due,,,,2024-05-31,Unemployment,,,,
FNM900000002,SLI-00002,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,05/2024,3,Loss Mitigation Referral,2024-05-31,None,2024-05-31,Delinquent,90 Days Past Due,,,,2024-05-31,Curtailment of Income,,,,
FNM900000003,SLI-00003,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,05/2024,4,Reinstatement,2024-05-31,Escalation Required,2024-05-31,Delinquent,30 Days Past Due,,,,2024-05-31,Payment Missed,,,,
FNM900000004,SLI-00004,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,05/2024,5,Status Update,2024-05-31,Borrower Contact Required,2024-05-31,Delinquent,30 Days Past Due,,,,2024-05-31,Payment Missed,,,,
FNM900000005,SLI-00005,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,05/2024,6,Repayment Plan,2024-05-31,Document Pending,2024-05-31,Current,60 Days Past Due,,,,2024-05-31,Unemployment,,,,
FNM900000006,SLI-00006,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,05/2024,1,Loss Mitigation Referral,2024-05-31,None,2024-05-31,Delinquent,90 Days Past Due,,,,2024-05-31,Curtailment of Income,,,,
FNM900000007,SLI-00007,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,05/2024,2,Reinstatement,2024-05-31,Escalation Required,2024-05-31,Delinquent,30 Days Past Due,,,,2024-05-31,Payment Missed,,,,
FNM900000008,SLI-00008,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,05/2024,3,Status Update,2024-05-31,Borrower Contact Required,2024-05-31,Delinquent,30 Days Past Due,,,,2024-05-31,Payment Missed,,,,
FNM900000009,SLI-00009,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,05/2024,4,Repayment Plan,2024-05-31,Document Pending,2024-05-31,Current,60 Days Past Due,,,,2024-05-31,Unemployment,,,,
